review_id,product_id,product_name,category,review_date,rating,review_title,review_text,verified_purchase,country
cm-0003,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-01-05,4,"Easy setup, great taste","Speed is excellent, noticeably faster than the machine it replaced.",false,AU
tb-0001,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-01-05,3,Mixed feelings overall,"The buzz is noticeable but not loud enough to bother me much. It's waterproof, but I still avoid soaking it for long periods.",true,UK
cm-0002,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-01-09,4,"Rich, consistent brew","I set up the clock and delay timer without checking the manual. It brews a strong, rich pot without turning bitter.",false,US
hp-0002,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-01-11,4,Perfect for long flights,The ambient sound mode is a nice touch for staying aware when needed. The sound quality is rich and well balanced across every genre I listen to.,true,US
hp-0003,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-01-11,4,Crystal clear audio,I barely hear my coworkers typing once ANC is switched on. Audio staging feels wide and immersive during movies.,true,UK
hp-0004,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-01-12,4,Excellent sound quality,"The mids are warm and detailed, especially on vocal-heavy songs. They fit my head shape well without any pinching around the ears. Despite the plastic frame, the overall build feels surprisingly durable.",true,CA
sw-0003,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-01-12,2,Strap irritates my wrist,Reconnecting to my phone after a run is hit or miss at best. The display washes out completely in direct sunlight. Notifications pile up and never clear even after I dismiss them.,true,US
tb-0002,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-01-13,4,Excellent cleaning power,My teeth look visibly whiter after a month of daily brushing.,true,US
dc-0003,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-01-15,1,Disappointing quality overall,"Assembly took nearly two hours because the instructions were poorly translated. The cushion flattened out within weeks, so sitting for hours is painful now.",true,US
sw-0001,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-01-17,2,Battery dies too fast,This app glitches so often that I've stopped trusting the numbers it shows.,true,US
sw-0002,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-01-20,1,Weak notification buzz,The app freezes right when I'm trying to start a workout. The default band is too stiff and never sits comfortably on my wrist.,true,NZ
dc-0002,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-01-21,2,Missing parts on arrival,I couldn't put together this chair without tools that weren't included in the box. This chair is overpriced for the quality you actually get.,true,UK
cm-0001,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-01-27,5,Great coffee maker overall,It's held up well and still works like new after six months. I can finally get cafe-quality flavor without leaving the house.,true,AU
dc-0001,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-01-27,3,"Does the job, nothing more","Stitching looks tidy overall, with just one slightly uneven seam near the base.",true,CA
hp-0001,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-01-29,5,Solid all-around headphones,Audio clarity is excellent even at lower volumes. I can wear these for hours and still forget they're on.,true,US
sw-0004,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-01-30,2,Uncomfortable band,I've had the app crash mid sync and lose my whole day's data. This screen becomes unreadable the moment sunlight hits it directly. The buzz for messages is so weak I miss it half the time.,true,US
hp-0007,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-02-04,4,Worth every penny,These do an excellent job canceling out consistent background noise.,true,US
sw-0006,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-02-09,1,Constant syncing issues,"The sync feature is unreliable, half my workouts never make it to the app.",true,US
cm-0006,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-02-11,1,Hard to clean,"I never managed to get the timer to hold its settings. This isn't reliable at all, it stopped heating after a few weeks. I keep getting a bitter aftertaste with every single cup.",true,US
hp-0008,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-02-11,2,Cheap feeling build,I lose the signal every time I turn my head away from my phone.,true,US
sw-0005,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-02-11,4,Love this fitness watch,App performance improved a lot after they patched the glitches from launch. My heart rate readings match my chest strap almost exactly.,true,US
dc-0006,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-02-12,2,Overpriced for what it is,I regret buying this chair because comfort during long sitting hours just isn't there.,true,CA
tb-0003,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-02-15,5,Dentist approved results,I'm impressed by how durable the housing has proven to be.,true,UK
dc-0005,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-02-17,4,Best chair I've owned,"Durability has impressed me; not a single squeak after months of use. The cushion is soft but supportive, making long sitting sessions easy. I was skeptical at first, but this chair is genuinely worth the money.",false,NZ
cm-0004,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-02-19,2,Confusing setup process,This brews the weakest coffee I've had from any machine. The filter basket is awkward to remove for cleaning.,true,AU
cm-0005,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-02-19,4,Sturdy and reliable machine,This machine brews a full pot in under five minutes.,true,US
