product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,review_content
DEMO0001,"Northwind Nylon Braided USB-C to Lightning Fast Charging and Data Sync Cable Compatible for Phone 14, 13, 12, 11, Pad Air, Pro, Mini (1.5 M Pack of 1, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399,"₹1,099",64%,4.2,"24,269","Charging is fast, and the braid feels solid.,Held up better than the cable it replaced.,Good value for money, would buy again."
DEMO0001,"Northwind Nylon Braided USB-C to Lightning Fast Charging and Data Sync Cable Compatible for Phone 14, 13, 12, 11, Pad Air, Pro, Mini (1.5 M Pack of 1, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹449,"₹1,099",59%,4.1,"24,270","Charging speed is fine but the cable is shorter than I expected.,Build quality is good, no complaints so far."
DEMO0002,"Kestrel 1.5L Stainless Steel Electric Kettle with Auto Shut-Off, Boil-Dry Protection, Concealed Heating Element and Cool-Touch Handle (Brushed Steel)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles,"₹1,249","₹2,499",50%,3.9,"7,928","Boils quickly and the handle stays cool.,The lid is stiff, I have to force it open every time.,Does the job for the price."
DEMO0003,"Halcyon Wireless Optical Mouse, 2.4 GHz with USB Nano Receiver, 1600 DPI, Silent Buttons, 12-Month Battery Life, Ambidextrous for PC / Mac / Laptop - Charcoal",Computers&Accessories|Accessories&Peripherals|Mice,₹699,"₹1,299",46%,3.4,"1,204","Battery life is poor — dead in three weeks.,Tracking is accurate on most surfaces though.,Buttons are genuinely silent."
DEMO0004,"Meridian 65W GaN Fast Charger with Dual Type-C and USB-A Ports, Foldable Pins, Compatible with Phones, Tablets and Laptops (White)",Electronics|Mobiles&Accessories|Chargers,₹899,"₹1,499",40%,2.4,918,"Stopped working after a month. Very disappointing.,Ran hot enough that I stopped using it.,Charged fast for the two weeks it lasted."
DEMO0005,"Alder 750W Sandwich Press with Non-Stick Plates, Automatic Temperature Control and Cool-Touch Body (Black)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers,"₹1,899","₹2,999",37%,4.6,"3,410","Does its job perfectly. Only issue is that temperature control is not precise.,Easy to clean, ""non-stick"" really is non-stick.,Heats up in under two minutes."
DEMO0006,"Corvus LED Desk Lamp with Adjustable Arm, 5 Brightness Levels, 3 Colour Temperatures, Flicker-Free and Glare-Free Panel, USB Charging Port (Matte Black)",Home&Kitchen|HomeDecor|Lighting,"₹1,099","₹1,499",27%,3.5,442,"Light is even and glare-free.,The base wobbles on an uneven desk.,The USB port is a nice touch."
DEMO0007,"Pike Portable Bluetooth 5.3 Speaker with 24-Hour Playtime, IPX7 Waterproof Build, Deep Bass Radiator and Built-In Mic for Calls (Slate Blue)",Electronics|HomeAudio|Speakers,"₹2,499","₹4,999",50%,4.0,"12,003","Sound quality is excellent for the size.,Pairing was painless.,Bass is better than I expected from something this small."
DEMO0008,"Tarn Vacuum Insulated Stainless Steel Water Bottle 750ml, Keeps Drinks Cold 24 Hours and Hot 12 Hours, Leak-Proof Lid, BPA Free (Forest Green)",Home&Kitchen|Kitchen&Dining|Drinkware,₹749,₹999,25%,4.3,"2,110","Keeps drinks cold all day.,The cap leaked on the first trip, but it seated properly after that.,Feels sturdy."
DEMO0009,"Vale Aluminium Laptop Stand, Adjustable Height and Angle, Ventilated Design, Compatible with 11-17 Inch Laptops and Tablets (Space Grey)",OfficeProducts|OfficeElectronics|Accessories,"₹1,599","₹2,199",27%,4.4,876,"Sturdy and lifts the screen to a comfortable height.,Assembly took a minute, no tools needed.,Stopped my neck ache."
